Force(nN),Distance(Å)
0.000,0.00000
0.020,4.06633
0.040,5.46155
0.060,6.42594
0.080,7.17116
0.100,7.54064
0.120,7.92118
0.140,8.40220
0.160,8.68388
0.180,9.18394
0.200,10.08133
0.220,10.29612
0.240,10.42435
0.260,10.71577
0.280,10.96256
0.300,11.10233
0.320,11.39694
0.340,11.58422
0.360,11.91931
0.380,12.87886
0.400,13.11120
0.420,13.22608
0.440,15.62905
0.460,15.71476
0.480,16.80017
0.500,16.87351
0.520,16.95252
0.540,17.14374
0.560,17.21183
0.580,17.28786
0.600,17.96575
0.620,18.03054
0.640,18.10456
0.660,18.25967
0.680,18.32050
0.700,18.39302
0.720,18.55934
0.740,18.62497
0.760,18.72321
0.780,18.78043
0.800,18.85098
0.820,18.98005
0.840,19.47250
0.860,19.76359
0.880,19.82243
0.900,26.07624
0.920,31.87878
0.940,36.42143
0.960,40.20863
0.980,45.11484
1.000,50.23089
1.020,57.57798
1.040,62.38369
1.060,69.49297
1.080,75.56205
1.100,90.44008
1.120,96.81880
1.140,117.95393
1.160,133.99935
1.180,148.83177
1.200,158.11972
