Force(nN),Distance(Å)
0.000,0.00000
0.020,3.44639
0.040,7.92319
0.060,8.51545
0.080,9.29755
0.100,9.81957
0.120,10.08907
0.140,10.39766
0.160,10.62759
0.180,11.75178
0.200,12.16070
0.220,12.27946
0.240,12.54988
0.260,12.68759
0.280,12.97917
0.300,13.05743
0.320,13.23372
0.340,13.30841
0.360,13.47852
0.380,13.64656
0.400,13.71551
0.420,13.79697
0.440,14.00781
0.460,14.07726
0.480,14.14252
0.500,14.30927
0.520,14.38334
0.540,14.54495
0.560,14.60806
0.580,14.68064
0.600,14.70698
0.620,14.92069
0.640,14.97504
0.660,15.04269
0.680,15.06706
0.700,15.15841
0.720,15.23226
0.740,15.30514
0.760,15.36315
0.780,15.50618
0.800,15.54064
0.820,15.59050
0.840,19.23621
0.860,33.46499
0.880,34.87516
0.900,47.56513
0.920,56.28479
0.940,66.26300
0.960,77.57288
0.980,103.43666
1.000,109.29651
