Force(nN),Distance(Å)
0.000,0.00000
0.020,9.28548
0.040,11.58912
0.060,12.92519
0.080,13.80650
0.100,14.54097
0.120,14.98445
0.140,15.39538
0.160,16.51514
0.180,16.80083
0.200,17.02006
0.220,17.29457
0.240,17.58382
0.260,17.73406
0.280,17.98849
0.300,18.29537
0.320,18.41415
0.340,18.54212
0.360,19.06022
0.380,21.28819
0.400,21.34831
0.420,21.47263
0.440,21.53472
0.460,21.69381
0.480,21.75917
0.500,21.94510
0.520,21.97555
0.540,22.03738
0.560,22.12210
0.580,22.20320
0.600,22.23387
0.620,22.72192
0.640,22.76808
0.660,22.79393
0.680,22.85004
0.700,23.24596
0.720,23.27291
0.740,23.33247
0.760,23.46054
0.780,23.50931
0.800,23.53414
0.820,23.58348
0.840,23.65634
0.860,24.76053
0.880,24.78657
0.900,24.84062
0.920,30.20860
0.940,37.09188
0.960,41.96880
0.980,48.05099
1.000,55.41012
1.020,63.25969
1.040,78.81648
1.060,91.59970
1.080,134.15395
