Stress Force(nN),HBonds
0.000,5
0.020,5
0.040,5
0.060,5
0.080,5
0.100,5
0.120,5
0.140,5
0.160,5
0.180,5
0.200,5
0.220,6
0.240,6
0.260,6
0.280,6
0.300,6
0.320,6
0.340,6
0.360,6
0.380,6
0.400,6
0.420,6
0.440,6
0.460,6
0.480,6
0.500,6
0.520,6
0.540,6
0.560,6
0.580,6
0.600,6
0.620,6
0.640,6
0.660,6
0.680,6
0.700,6
0.720,6
0.740,6
0.760,6
0.780,6
0.800,6
0.820,6
0.840,5
0.860,4
0.880,4
0.900,4
0.920,4
0.940,4
0.960,4
0.980,6
1.000,6
1.020,6
1.040,6
1.060,6
1.080,6
1.100,6
1.120,6
1.140,6
1.160,6
1.180,6
1.200,6
1.220,6
1.240,6
1.260,5
1.280,5
1.300,5
1.320,5
1.340,5
1.360,5
1.380,1
1.400,0
1.420,1
1.440,0
1.460,0
1.480,0
1.500,0
1.520,0
1.540,0
1.560,0
1.580,0
