Curve Energy
0.0 -23807.51464581297
250.0 -23806.58708176928
500.0 -23806.89621698151
750.0 -23806.46387363055
1000.0 -23805.92518775091
1250.0 -23806.44896491499
1500.0 -23806.03601160613
1750.0 -23806.97570978609
2000.0 -23806.35154496446
2250.0 -23808.34497951289
2500.0 -23807.22975114284
2750.0 -23806.99775981375
3000.0 -23807.18950741895
3250.0 -23806.88270377956
3500.0 -23807.9643704543
3750.0 -23806.92409697296
4000.0 -23806.90733751629
4250.0 -23807.6653397111
4500.0 -23807.60658288158
4750.0 -23806.68449483987
5000.0 -23807.68231874033
5250.0 -23806.71410749619
5500.0 -23806.57025640263
5750.0 -23806.89422088335
6000.0 -23807.19376320961
6250.0 -23806.28284965656
6500.0 -23806.25563592882
6750.000000000001 -23806.75585589393
6999.999999999999 -23806.85149174483
7250.0 -23806.22874087688
7500.0 -23805.78535673104
7750.0 -23806.98901605237
8000.0 -23807.30908916219
8250.0 -23808.1316176736
8500.0 -23806.92558883737
8750.0 -23806.41995497281
9000.0 -23807.71946471224
9250.0 -23806.70134741973
9500.0 -23806.76357688395
9750.0 -23806.54488022461
10000.0 -23807.35532886587
10250.0 -23806.96820467098
10500.0 -23807.43905904554
10750.0 -23806.6233490611
11000.0 -23807.32042565127
11250.0 -23807.44280828302
11500.0 -23807.27002620162
11750.0 -23806.60516823537
12000.0 -23806.84332176461
12250.0 -23806.30438860163
12500.0 -23807.40616877087
12750.0 -23806.93078362685
13000.0 -23806.64275429919
13250.0 -23807.56281476828
13500.0 -23806.89030643486
13750.0 -23807.18363374774
14000.0 -23808.29000349248
14250.0 -23807.26097259583
14500.0 -23807.49562256962
14750.0 -23806.99857598302
15000.0 -23807.94748817129
15250.0 -23807.48136754554
15500.0 -23806.64527728572
15750.0 -23806.74557675683
16000.0 -23806.94225661827
16250.0 -23806.95673635171
16500.0 -23807.28394188832
16750.0 -23807.7457635452
17000.0 -23807.85077064658
17250.0 -23807.0394073281
17500.0 -23808.1592067673
17750.0 -23807.41468400174
18000.0 -23807.56567455827
18250.0 -23806.51771406796
18500.0 -23807.5471527416
18750.0 -23808.04320757114
19000.0 -23806.71406174359
19250.0 -23806.93754332386
19500.0 -23806.62798937728
19750.0 -23806.71171367431
20000.0 -23807.56957299072
20250.0 -23807.05781750158
20500.0 -23806.76772956469
20750.0 -23807.07085680485
21000.0 -23807.263714907
21250.0 -23807.33881569606
21500.0 -23806.86943683399
21750.0 -23806.07628910613
22000.0 -23806.41605472618
22250.0 -23807.70089240273
22500.0 -23807.36065548324
22750.0 -23807.10518649092
23000.0 -23807.87376303919
23250.0 -23806.68599718138
23500.0 -23806.30756965664
23750.0 -23805.91976391381
24000.0 -23806.19109251363
24250.0 -23806.70936206969
24500.0 -23806.54578432468
24750.0 -23806.82068655879
25000.0 -23806.37026666103
25250.0 -23806.33200932936
25500.0 -23806.27062984778
25750.0 -23805.72388013981
26000.0 -23805.62383832341
26250.0 -23805.65074249949
26500.0 -23804.51117392202
26750.0 -23805.80755935017
27000.0 -23805.52034543017
27250.0 -23805.20548456301
27500.0 -23805.86900577469
27750.0 -23806.11999786704
28000.0 -23805.83715630075
28250.0 -23805.96317979565
28500.0 -23805.49737364519
28750.0 -23805.6008403797
29000.0 -23805.70420563842
29250.0 -23804.93896093112
29500.0 -23805.39915960939
29750.0 -23806.34844060773
30000.0 -23806.21775043017
30250.0 -23805.81959858582
30500.0 -23805.24209176052
30750.0 -23806.30443755554
31000.0 -23805.67387997956
31250.0 -23806.48973059037
31500.0 -23805.26324930566
31750.0 -23805.84322648919
32000.0 -23805.45535867822
32250.0 -23805.79846879576
32500.0 -23805.28468174729
32750.0 -23804.7089548028
33000.0 -23805.57945542188
33250.0 -23805.08623999545
33500.0 -23805.67263306249
33750.0 -23804.75767960838
34000.0 -23805.59786043209
34250.0 -23804.57878133805
34500.0 -23804.96807569947
34750.0 -23805.60021784373
35000.0 -23806.20420505359
35250.0 -23805.30208268697
35500.0 -23805.71314141709
35750.0 -23805.1974751868
36000.0 -23805.36924298223
36250.0 -23805.47419291352
36500.0 -23806.11312221349
36750.0 -23804.87975047566
37000.0 -23805.9104475095
37250.0 -23805.46243565173
37500.0 -23805.49810165074
37750.0 -23804.985747753
38000.0 -23805.56040063202
38250.0 -23804.5358884221
38500.0 -23804.37768791653
38750.0 -23804.43523404394
39000.0 -23804.51100316778
39250.0 -23804.88774676453
39500.0 -23804.88295005244
39750.0 -23804.49525480629
40000.0 -23803.70417428833
40250.0 -23804.37535943088
40500.0 -23804.18309789322
40750.0 -23804.39295310555
41000.0 -23803.72959926833
41250.0 -23804.27464442713
41500.0 -23804.41583155739
41750.0 -23804.87928164744
42000.0 -23804.05741445841
42250.0 -23803.81218732502
42500.0 -23804.91770384723
42750.0 -23804.93722727645
43000.0 -23804.84342380623
43250.0 -23804.80785972716
43500.0 -23804.20129939675
43750.0 -23804.99099661955
44000.0 -23804.6603545091
44250.0 -23805.05814459691
44500.0 -23804.15295675629
44750.0 -23804.62588907576
45000.0 -23804.05055682161
45250.0 -23804.17582728333
45500.0 -23804.46555477147
45750.0 -23804.3722244839
46000.0 -23805.27004112949
46250.0 -23803.78376142692
46500.0 -23803.45941818191
46750.0 -23804.11584048255
47000.0 -23803.61879429793
47250.0 -23802.21633089582
47500.0 -23803.42976666923
47750.0 -23805.06326933134
48000.0 -23803.6409504721
48250.0 -23802.95755724253
48500.0 -23803.97110984397
48750.0 -23803.09877960094
49000.0 -23803.36722995279
49250.0 -23803.80058026095
49500.0 -23802.76643893727
49750.0 -23803.16870234762
50000.0 -23803.45943718906
50250.0 -23803.56144941097
50500.0 -23802.67094993505
50749.99999999999 -23802.61755712131
51000.0 -23804.39590701991
51250.0 -23804.11313951746
51500.0 -23804.56400682325
51750.0 -23804.23599321902
52000.0 -23805.10539198154
52250.0 -23804.53275380344
52500.0 -23804.22449699359
52750.0 -23804.60185513246
53000.00000000001 -23805.68668984007
53250.0 -23805.07123066722
53500.00000000001 -23804.45611453205
53750.0 -23804.02490019332
54000.00000000001 -23804.50832556991
54250.0 -23804.47499380704
54500.00000000001 -23803.55350102775
54750.0 -23803.33779421643
55000.00000000001 -23804.01608929031
55250.0 -23803.82533437556
55499.99999999999 -23804.54603045977
55750.0 -23804.73991828988
55999.99999999999 -23804.43937084651
56250.0 -23804.70586532385
56499.99999999999 -23804.64216482427
56750.0 -23804.59258504333
56999.99999999999 -23804.5206919661
57250.0 -23804.85605911011
57500.0 -23803.91502932653
57750.0 -23803.45164854737
58000.0 -23803.347178506
58250.0 -23803.84426239328
58500.0 -23802.84604251013
58750.0 -23803.23872903601
59000.0 -23803.97027447524
59250.00000000001 -23803.31904906209
59500.0 -23804.03292008219
59750.00000000001 -23804.50466416149
60000.0 -23804.4401742276
60250.00000000001 -23803.51495765507
60500.0 -23803.9485167517
60750.00000000001 -23803.95761050759
61000.0 -23803.53102740305
61249.99999999999 -23804.27953001721
61500.0 -23804.27138596133
61749.99999999999 -23802.92487210886
62000.0 -23803.48627483429
62249.99999999999 -23804.0233942887
62500.0 -23804.40051659699
62749.99999999999 -23804.19525185881
63000.0 -23803.55018065527
63249.99999999999 -23802.91683396591
63500.0 -23803.4232314527
63750.0 -23803.31327951118
64000.0 -23802.92971814997
64250.0 -23801.73860775914
64500.0 -23802.35877685637
64750.0 -23801.96466949447
65000.0 -23802.25964354705
65250.0 -23802.92837542008
65500.00000000001 -23802.02704326818
65750.0 -23802.62867359328
66000.0 -23802.07213349153
66250.0 -23802.63577545274
66500.0 -23801.176305336
66750.0 -23801.77274685917
67000.0 -23802.03141009447
67250.0 -23801.48896496947
67500.0 -23802.07310044646
67750.0 -23802.62013739491
68000.0 -23804.02480820016
68250.0 -23803.68790263488
68500.0 -23802.70355553224
68750.0 -23802.57590545124
69000.0 -23803.60205043084
69250.0 -23802.20162244433
69500.0 -23802.57036421633
69750.0 -23803.34346787162
70000.0 -23803.22243827911
70250.0 -23802.6239994233
70500.0 -23802.87760278114
70750.0 -23803.19644968345
71000.0 -23803.03737679275
71250.0 -23802.57125421578
71500.0 -23803.46659976332
71750.0 -23802.95238914882
72000.0 -23802.66902541171
72250.0 -23803.30598857087
72500.0 -23802.37902357934
72750.0 -23801.85894118825
73000.0 -23802.22645788948
73250.0 -23802.78036380878
73500.0 -23802.71366726058
73750.0 -23802.25699504133
74000.0 -23802.64088920986
74250.0 -23802.80644054367
74500.0 -23802.05630706362
74750.0 -23802.83378633009
75000.0 -23802.27385817585
75250.0 -23804.1023172266
75500.0 -23803.36002505594
75750.0 -23802.06198500581
76000.0 -23802.58633708144
76250.0 -23803.74075313817
76500.0 -23803.32599449078
76750.0 -23802.1339024853
77000.0 -23802.42240874159
77250.0 -23802.97518332168
77500.0 -23801.82744165947
77750.0 -23802.64799422174
78000.0 -23801.10833101276
78250.0 -23802.45132449177
78500.0 -23801.83607707952
78750.0 -23801.859509748
79000.0 -23801.73005866199
79250.0 -23802.7132795365
79500.0 -23803.51758278477
79750.0 -23803.70667373469
80000.0 -23802.76652852889
80250.0 -23802.70899112712
80500.0 -23804.0800659544
80750.0 -23803.19168213265
81000.0 -23803.15517308771
81250.0 -23802.31709315366
81500.0 -23802.78619233527
81750.0 -23802.98203390358
82000.0 -23803.1600789221
82250.0 -23804.25622290164
82500.0 -23803.26196862527
