# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
1000 1.34047 43.4736 37.2054 49.607 -263.571
2000 1.34076 43.4886 37.1966 49.5908 -775.535
3000 1.3412 43.5036 37.1907 49.5654 -477.451
4000 1.3418 43.5186 37.1827 49.5369 -1560.6
5000 1.34286 43.5336 37.1631 49.5068 -376.966
6000 1.34425 43.5486 37.1364 49.4739 103.881
7000 1.34575 43.5636 37.1053 49.4433 187.666
8000 1.3468 43.5786 37.0848 49.4151 305.787
9000 1.34808 43.5936 37.0668 49.3751 589.039
10000 1.34905 43.6086 37.0544 49.3392 671.702
11000 1.34932 43.6236 37.047 49.3222 -1097.37
12000 1.34867 43.6386 37.0478 49.3278 1130.89
13000 1.34783 43.6536 37.0498 49.3388 -1142.62
14000 1.34629 43.6686 37.0531 49.374 -2100.38
15000 1.34374 43.6836 37.0676 49.4313 -339.869
16000 1.34127 43.6986 37.0812 49.4872 1542.54
17000 1.33886 43.7136 37.0925 49.5442 -164.275
18000 1.33712 43.7286 37.0949 49.5886 -1104
19000 1.33616 43.7436 37.0818 49.6247 -1619.99
20000 1.33601 43.7586 37.0512 49.654 705.134
21000 1.3367 43.7736 37.0108 49.6656 -48.6433
22000 1.33791 43.7886 36.9693 49.6594 -1754.2
23000 1.33964 43.8036 36.9178 49.6474 -383.011
24000 1.34112 43.8186 36.8714 49.6382 -1755.09
25000 1.34223 43.8336 36.8374 49.6257 539.423
26000 1.34292 43.8486 36.8176 49.6101 -1379.53
27000 1.34318 43.8636 36.8163 49.5853 -1665.72
28000 1.34315 43.8786 36.8256 49.557 1085.57
29000 1.34192 43.8936 36.8527 49.5489 547.102
30000 1.34052 43.9086 36.8792 49.5482 -797.458
31000 1.3397 43.9236 36.896 49.539 -2551.73
32000 1.33896 43.9386 36.9086 49.5324 -1414.67
33000 1.3381 43.9536 36.9246 49.5258 936.124
34000 1.33729 43.9686 36.9368 49.5227 -1074.61
35000 1.33711 43.9836 36.9416 49.5059 -736.147
36000 1.33736 43.9986 36.9387 49.4837 764.719
37000 1.33757 44.0136 36.9372 49.4611 -1112.26
38000 1.33814 44.0286 36.9304 49.4321 -1350.58
39000 1.33855 44.0436 36.9224 49.4111 -537.593
40000 1.33845 44.0586 36.9179 49.4038 675.102
41000 1.33812 44.0736 36.9197 49.3969 284.837
42000 1.33785 44.0886 36.9205 49.389 -902.775
43000 1.33764 44.1036 36.921 49.3791 -859.204
44000 1.33752 44.1186 36.9184 49.3705 -2679.88
45000 1.33748 44.1336 36.916 49.3585 -1686.01
46000 1.33753 44.1486 36.9099 49.3479 -968.194
47000 1.33804 44.1636 36.8987 49.3272 -492.463
48000 1.33834 44.1786 36.8925 49.3076 629.199
49000 1.33866 44.1936 36.8838 49.2908 -3034.08
50000 1.33887 44.2086 36.8735 49.28 -143.454
51000 1.33936 44.2236 36.858 49.266 -583.902
52000 1.33958 44.2386 36.8478 49.255 -2105.59
53000 1.34044 44.2536 36.8261 49.2355 -1715.44
54000 1.34133 44.2686 36.7982 49.2236 -514.907
55000 1.34214 44.2836 36.7683 49.2172 -1356.81
56000 1.34226 44.2986 36.7463 49.2257 898.342
57000 1.34225 44.3136 36.7271 49.235 -2041.02
58000 1.34227 44.3286 36.7092 49.2415 -2083.11
59000 1.34181 44.3436 36.6944 49.2615 -685.783
60000 1.34097 44.3586 36.6879 49.2846 782.293
61000 1.34005 44.3736 36.6836 49.3075 -2171.6
62000 1.3393 44.3886 36.6812 49.3216 -650.02
63000 1.33906 44.4036 36.674 49.3237 -1476.02
64000 1.33937 44.4186 36.658 49.3171 716.222
65000 1.33981 44.4336 36.6405 49.3076 -1559.37
66000 1.34019 44.4486 36.6262 49.2963 -1456.82
67000 1.34049 44.4636 36.6159 49.2823 -18.8727
68000 1.34052 44.4786 36.6149 49.2664 -3395.39
69000 1.34092 44.4936 36.6133 49.2371 -398.099
70000 1.3413 44.5086 36.6166 49.2021 -2059.69
71000 1.34134 44.5236 36.6256 49.1721 -1081.03
72000 1.34113 44.5386 36.6374 49.1475 -3124.71
73000 1.34073 44.5536 36.6542 49.1229 -1319.39
74000 1.34047 44.5686 36.6691 49.096 -851.19
75000 1.33997 44.5836 36.6874 49.0732 -1216.89
76000 1.33949 44.5986 36.7101 49.0438 -1081.97
77000 1.33927 44.6136 36.7299 49.0092 -2284.43
78000 1.33884 44.6286 36.7529 48.9777 -3176.27
79000 1.33828 44.6436 36.7743 48.9531 -1122.23
80000 1.33784 44.6586 36.79 48.9319 -1012.84
81000 1.33701 44.6736 36.8075 48.9227 -2039.41
82000 1.33635 44.6886 36.8167 48.9182 -1821.88
83000 1.33561 44.7036 36.8237 48.9193 -1584.1
84000 1.33536 44.7186 36.817 48.9213 -689.642
85000 1.33573 44.7336 36.7927 48.9234 -1004.64
86000 1.33664 44.7486 36.7544 48.9246 -1814.67
87000 1.33746 44.7636 36.71 48.9374 -2051.95
88000 1.33807 44.7786 36.6636 48.9606 -3076.71
89000 1.33842 44.7936 36.6163 48.9946 -1205.39
90000 1.33867 44.8086 36.5706 49.0302 18.1406
91000 1.33871 44.8236 36.5254 49.0731 -358.425
92000 1.33848 44.8386 36.4867 49.1171 -1444.33
93000 1.33767 44.8536 36.462 49.1637 -1258.78
94000 1.33728 44.8686 36.4446 49.1851 -1213.37
95000 1.33683 44.8836 36.437 49.1953 -1392.01
96000 1.33613 44.8986 36.4378 49.2038 -2225.33
97000 1.3357 44.9136 36.4417 49.198 -1419.3
98000 1.33548 44.9286 36.4481 49.1808 -299.63
99000 1.33562 44.9436 36.4547 49.1503 48.962
100000 1.33577 44.9586 36.4642 49.1158 -1466.43
101000 1.33549 44.9736 36.4805 49.0877 -1211.13
102000 1.33511 44.9886 36.4996 49.0595 -577.044
103000 1.33497 45.0036 36.516 49.0261 -1553.19
104000 1.3349 45.0186 36.5288 48.9954 -581.87
105000 1.33478 45.0336 36.5363 48.9733 -1980.53
106000 1.33482 45.0486 36.5333 48.9596 -2250.34
107000 1.33532 45.0636 36.5211 48.9414 -1345.72
108000 1.33577 45.0786 36.5056 48.9294 -1543.02
109000 1.33596 45.0936 36.4935 48.9224 -1003.89
110000 1.33606 45.1086 36.4829 48.9166 -1712.4
111000 1.33607 45.1236 36.4703 48.9168 -1334.53
112000 1.33604 45.1386 36.4577 48.9185 -2269.48
113000 1.3362 45.1536 36.4429 48.9165 -1718.94
114000 1.33599 45.1686 36.4323 48.9219 -2863.88
115000 1.33576 45.1836 36.422 48.9282 -1611.23
116000 1.33535 45.1986 36.4129 48.9392 -3772.41
117000 1.33498 45.2136 36.4047 48.9474 140.147
118000 1.33465 45.2286 36.3973 48.9532 -2873.78
119000 1.33441 45.2436 36.3899 48.9558 -2496.26
120000 1.33453 45.2586 36.3793 48.9494 -3484.55
121000 1.33508 45.2736 36.3599 48.9389 -883.896
122000 1.33517 45.2886 36.3475 48.9365 -936.23
123000 1.33498 45.3036 36.3435 48.9325 -2977.15
124000 1.33475 45.3186 36.3419 48.9266 -2872.29
125000 1.33432 45.3336 36.3449 48.9223 -3300.86
126000 1.33376 45.3486 36.3514 48.9178 -3106.86
127000 1.33316 45.3636 36.3607 48.9113 -821.048
128000 1.33269 45.3786 36.3701 48.8996 -1325.47
129000 1.33207 45.3936 36.3825 48.8898 -1903.7
130000 1.33189 45.4086 36.3836 48.8787 -3437.49
131000 1.33168 45.4236 36.3849 48.8684 -34.0018
132000 1.33179 45.4386 36.3801 48.8547 -2349.24
133000 1.33198 45.4536 36.3706 48.8442 -660.682
134000 1.33206 45.4686 36.3614 48.8379 -2404.63
135000 1.3322 45.4836 36.353 48.8279 -1125.61
136000 1.33267 45.4986 36.3425 48.8086 -4023.95
137000 1.33366 45.5136 36.3293 48.774 -2053.62
138000 1.33454 45.5286 36.3186 48.7399 -1523.67
139000 1.33524 45.5436 36.3159 48.7023 -1009.53
140000 1.33574 45.5586 36.3192 48.6633 -2696.46
141000 1.33599 45.5736 36.3295 48.6245 -2040.4
142000 1.33588 45.5886 36.3448 48.5919 -2501.01
143000 1.33592 45.6036 36.3562 48.5595 -2114.71
144000 1.3357 45.6186 36.3662 48.538 -3657.75
145000 1.33508 45.6336 36.3749 48.5329 -2334.76
146000 1.33407 45.6486 36.3825 48.5435 -2030
147000 1.33342 45.6636 36.3779 48.5573 -2004.71
148000 1.33305 45.6786 36.3602 48.5786 -3997.54
149000 1.33273 45.6936 36.3298 48.6151 -2354.99
150000 1.33208 45.7086 36.3065 48.6541 -1808.69
151000 1.33098 45.7236 36.2933 48.6958 -3377.2
152000 1.33015 45.7386 36.2717 48.7391 -2927.37
153000 1.32943 45.7536 36.2489 48.7805 -2165.27
154000 1.32948 45.7686 36.2179 48.8044 -3358.02
155000 1.3297 45.7836 36.1852 48.8245 -2731.33
156000 1.33034 45.7986 36.1507 48.8315 -4819.42
157000 1.33128 45.8136 36.1164 48.8275 -2143.18
158000 1.33145 45.8286 36.0957 48.833 -1457.37
159000 1.33147 45.8436 36.0821 48.8347 -1566.1
160000 1.33105 45.8586 36.0786 48.8389 -3896.98
161000 1.33061 45.8736 36.0834 48.8324 -1135.26
162000 1.3298 45.8886 36.0997 48.8245 -1146.63
163000 1.32887 45.9036 36.1183 48.8174 -1783.21
164000 1.32792 45.9186 36.1389 48.8086 -1912.71
165000 1.32674 45.9336 36.1606 48.8065 -1424.4
166000 1.32604 45.9486 36.1799 48.7906 -2193.32
167000 1.32547 45.9636 36.2029 48.7645 -4323.93
168000 1.32523 45.9786 36.2217 48.7321 -1863.33
169000 1.32506 45.9936 36.2408 48.6969 -3161.23
170000 1.32487 46.0086 36.2536 48.6707 -4060.85
171000 1.32482 46.0236 36.2611 48.6467 -3850.34
172000 1.32498 46.0386 36.2629 48.6224 -1685.67
173000 1.32473 46.0536 36.2674 48.6097 -2526.71
174000 1.32435 46.0686 36.2689 48.606 -3474.46
175000 1.32419 46.0836 36.2601 48.6079 -4101.93
176000 1.32412 46.0986 36.2453 48.6144 -4600.17
177000 1.32393 46.1136 36.2261 48.6315 -2275.1
178000 1.3236 46.1286 36.2086 48.6509 -4366.92
179000 1.32374 46.1436 36.1821 48.6655 -2579.79
180000 1.32469 46.1586 36.1454 48.6645 -2888.85
181000 1.32568 46.1736 36.1049 48.6668 -1919.4
182000 1.32682 46.1886 36.0608 48.6686 -2829.41
183000 1.32821 46.2036 36.0108 48.6693 -3836.35
184000 1.32958 46.2186 35.9611 48.6707 -3513.51
185000 1.33046 46.2336 35.9147 48.6855 -3961.63
186000 1.3313 46.2486 35.8706 48.6989 -2627.94
187000 1.33191 46.2636 35.8359 48.7076 -924.678
188000 1.33188 46.2786 35.8166 48.7195 -3643.6
189000 1.33079 46.2936 35.8208 48.7379 -3316.82
190000 1.32915 46.3086 35.8393 48.7571 -3094.85
191000 1.32768 46.3236 35.8694 48.7542 -1992.36
192000 1.32649 46.3386 35.9027 48.7368 -3144.89
193000 1.32532 46.3536 35.9419 48.711 -3116.13
194000 1.32383 46.3686 35.989 48.6862 -1514.01
195000 1.32264 46.3836 36.0329 48.6546 -1511.35
196000 1.32221 46.3986 36.0685 48.6068 -930.323
197000 1.32238 46.4136 36.0935 48.5513 -3366.63
198000 1.3229 46.4286 36.1109 48.4933 -3489.47
199000 1.3231 46.4436 36.1352 48.4374 -3481.99
200000 1.32305 46.4586 36.1599 48.3908 -2046.73
201000 1.32271 46.4736 36.1832 48.3563 -1995.88
202000 1.32251 46.4886 36.1987 48.3275 -2084.72
203000 1.32255 46.5036 36.2041 48.3029 -4182.77
204000 1.32326 46.5186 36.1981 48.2696 -3647.6
205000 1.32417 46.5336 36.1856 48.2376 -1490.85
206000 1.32504 46.5486 36.1636 48.2195 -3414.87
207000 1.32626 46.5636 36.1284 48.2068 -3128.92
208000 1.32726 46.5786 36.092 48.2034 -3902.27
209000 1.32763 46.5936 36.0628 48.2133 -2896.49
210000 1.32753 46.6086 36.0419 48.2294 -3448.67
211000 1.32673 46.6236 36.0301 48.2591 -1535.28
212000 1.32558 46.6386 36.0217 48.2963 -2409.55
213000 1.32469 46.6536 36.0128 48.3252 -3232.69
214000 1.32415 46.6686 36.0019 48.3441 -2206.68
215000 1.32338 46.6836 35.9905 48.3721 -2254.64
216000 1.32289 46.6986 35.9815 48.3866 -3327.45
217000 1.32249 46.7136 35.9736 48.3961 -3612
218000 1.32236 46.7286 35.9628 48.3999 -4405.37
219000 1.32278 46.7436 35.9487 48.3881 -3024.58
220000 1.32313 46.7586 35.9374 48.3748 -1061.49
221000 1.32367 46.7736 35.9197 48.3636 -2124.8
222000 1.32389 46.7886 35.9079 48.356 -2203.11
223000 1.32408 46.8036 35.8956 48.35 -5496.92
224000 1.32469 46.8186 35.8796 48.334 -2968.52
225000 1.32527 46.8336 35.8639 48.3183 -1530.47
226000 1.32579 46.8486 35.8479 48.3054 -4307.87
227000 1.32661 46.8636 35.8308 48.2831 -1814.29
228000 1.32682 46.8786 35.8234 48.2699 -3966.64
229000 1.32712 46.8936 35.8129 48.2577 -2864.57
230000 1.32737 46.9086 35.8058 48.2429 -2485.28
231000 1.32722 46.9236 35.8072 48.2312 -3717
232000 1.32641 46.9386 35.8186 48.2296 -2476.73
233000 1.32528 46.9536 35.8365 48.2312 -5221.97
234000 1.32414 46.9686 35.8527 48.2356 -3788.58
235000 1.32284 46.9836 35.8666 48.2488 -3547.54
236000 1.32108 46.9986 35.8849 48.2729 -2554.61
237000 1.3196 47.0136 35.8963 48.2965 -1009.81
238000 1.31859 47.0286 35.9017 48.3106 -2945.2
239000 1.31841 47.0436 35.8981 48.3069 -2637.71
240000 1.31894 47.0586 35.8868 48.2874 -1482.7
241000 1.31956 47.0736 35.8749 48.2651 -4181.6
242000 1.32049 47.0886 35.8539 48.244 -3788.81
243000 1.32172 47.1036 35.8242 48.2238 -1515.49
244000 1.32289 47.1186 35.7927 48.2083 -3026.31
245000 1.32381 47.1336 35.7633 48.1988 -4999.07
246000 1.32466 47.1486 35.7328 48.1939 -2611.7
247000 1.32517 47.1636 35.7077 48.1938 -3070.06
248000 1.32534 47.1786 35.6925 48.1929 -3461.06
249000 1.32535 47.1936 35.6856 48.1863 -2913.56
250000 1.32493 47.2086 35.6848 48.1875 -3603.69
251000 1.32421 47.2236 35.687 48.1953 -2232.69
252000 1.32383 47.2386 35.6836 48.1985 -2971.46
253000 1.32322 47.2536 35.6814 48.2084 -2959.16
254000 1.32245 47.2686 35.6853 48.2159 -2788.14
255000 1.32169 47.2836 35.6928 48.2181 -4240.65
256000 1.3209 47.2986 35.7065 48.2133 -4102.36
257000 1.32027 47.3136 35.7199 48.203 -2357.68
258000 1.32009 47.3286 35.7332 48.1763 -1982.42
259000 1.32069 47.3436 35.7377 48.1328 -3768.87
260000 1.32165 47.3586 35.7397 48.0802 -1836.11
261000 1.3232 47.3736 35.7371 48.0122 -3813.77
262000 1.32457 47.3886 35.7376 47.9465 -4611.69
263000 1.32599 47.4036 35.7388 47.8783 -3082.1
264000 1.32716 47.4186 35.7403 47.8191 -4292.36
265000 1.32811 47.4336 35.7384 47.7721 -4308.56
266000 1.32892 47.4486 35.7356 47.7318 -3327.57
267000 1.32919 47.4636 35.736 47.7066 -4101.19
268000 1.3289 47.4786 35.7392 47.6977 -1451.49
269000 1.32827 47.4936 35.747 47.6948 -2333.28
270000 1.32728 47.5086 35.7576 47.7012 -3964.88
271000 1.32537 47.5236 35.7799 47.725 -4019.12
272000 1.32307 47.5386 35.8062 47.7577 -4372
273000 1.32075 47.5536 35.8228 47.8043 -5861.61
274000 1.31911 47.5686 35.8267 47.8435 -1659.67
275000 1.31817 47.5836 35.8164 47.8761 -3560.88
276000 1.31756 47.5986 35.7998 47.9057 -2781.32
277000 1.3179 47.6136 35.7681 47.9207 -2807.85
278000 1.31858 47.6286 35.7291 47.9329 -1846.84
279000 1.31918 47.6436 35.6926 47.9451 -3739.27
280000 1.31981 47.6586 35.6546 47.9582 -3075.6
281000 1.32049 47.6736 35.6179 47.9677 -3423.61
282000 1.32103 47.6886 35.58 47.9841 -2908.02
283000 1.3211 47.7036 35.5489 48.0084 -3216.05
284000 1.32107 47.7186 35.5216 48.0315 -4110.97
285000 1.32055 47.7336 35.5083 48.0534 -2524.22
286000 1.32045 47.7486 35.4956 48.0588 -4668.56
287000 1.32038 47.7636 35.4925 48.0506 -2582.98
288000 1.31997 47.7786 35.506 48.032 -5609.83
289000 1.31988 47.7936 35.5193 48.0024 -4674.05
290000 1.31942 47.8086 35.5445 47.9701 -2676.23
291000 1.31894 47.8236 35.5719 47.9353 -2277.19
292000 1.31824 47.8386 35.6036 47.903 -4035.97
293000 1.31715 47.8536 35.6385 47.8809 -4780.2
294000 1.31596 47.8686 35.6753 47.8595 -2935.08
295000 1.31477 47.8836 35.7112 47.84 -3986.66
296000 1.31378 47.8986 35.7396 47.8231 -4416.29
297000 1.31351 47.9136 35.7534 47.7994 -3492.29
298000 1.31353 47.9286 35.7561 47.7799 -5015.46
299000 1.31349 47.9436 35.758 47.7638 -4863.65
300000 1.31352 47.9586 35.7609 47.7441 -3349.8
301000 1.31391 47.9736 35.7538 47.7243 -2029.54
302000 1.31467 47.9886 35.7387 47.702 -3966.08
303000 1.31568 48.0036 35.7196 47.6759 -1687.17
304000 1.31641 48.0186 35.7016 47.6588 -2765.39
305000 1.3171 48.0336 35.684 47.6424 -1865.59
306000 1.31772 48.0486 35.6648 47.6308 -3355.4
307000 1.31812 48.0636 35.6471 47.6249 -1571.17
308000 1.31856 48.0786 35.6305 47.6166 -3121.47
309000 1.31906 48.0936 35.6116 47.6087 -4149.48
310000 1.31956 48.1086 35.5917 47.6026 -3911.52
311000 1.32036 48.1236 35.5666 47.5925 -2765.47
312000 1.32091 48.1386 35.5436 47.5886 -3644.89
313000 1.32123 48.1536 35.5243 47.5882 -3601.29
314000 1.32092 48.1686 35.5151 47.5967 -3571.41
315000 1.32053 48.1836 35.5074 47.6064 -3552.69
316000 1.3204 48.1986 35.4934 47.615 -2777.79
317000 1.32026 48.2136 35.4802 47.6229 -4254.52
318000 1.32047 48.2286 35.4616 47.6256 -2654.65
319000 1.3208 48.2436 35.445 47.6209 -3004.32
320000 1.32112 48.2586 35.4294 47.6158 -3582.15
321000 1.32143 48.2736 35.412 47.613 -2993.66
322000 1.3217 48.2886 35.3945 47.6122 -2689.5
323000 1.32134 48.3036 35.3867 47.6209 -4263.1
324000 1.32085 48.3186 35.377 47.6366 -2339.07
325000 1.3204 48.3336 35.369 47.6492 -1989.31
326000 1.31998 48.3486 35.3618 47.659 -2568.54
327000 1.31947 48.3636 35.3623 47.662 -2856.57
328000 1.31923 48.3786 35.3666 47.6503 -2388.95
329000 1.31941 48.3936 35.3667 47.6289 -4856.67
330000 1.31921 48.4086 35.3723 47.6138 -4032.89
331000 1.31884 48.4236 35.3814 47.6 -3847.63
332000 1.31837 48.4386 35.3932 47.5862 -4323.05
333000 1.31841 48.4536 35.3979 47.564 -3691.86
334000 1.31871 48.4686 35.3985 47.5376 -3599.05
335000 1.319 48.4836 35.3948 47.5173 -5206.46
336000 1.31978 48.4986 35.3763 47.4993 -4139.73
337000 1.32079 48.5136 35.354 47.4783 -4661.09
338000 1.32185 48.5286 35.3267 47.4621 -2076.93
339000 1.32223 48.5436 35.3107 47.4554 -2788.09
340000 1.32228 48.5586 35.2998 47.4536 -3044.86
341000 1.32224 48.5736 35.289 47.455 -3443.73
342000 1.32228 48.5886 35.2775 47.4543 -3395.36
343000 1.32205 48.6036 35.268 47.4607 -4597.62
344000 1.32173 48.6186 35.2601 47.4681 -3673.81
345000 1.32167 48.6336 35.2491 47.4706 -2464.15
346000 1.32147 48.6486 35.2418 47.4727 -3444.82
347000 1.32139 48.6636 35.2315 47.475 -3879.07
348000 1.32127 48.6786 35.2221 47.4772 -5384.39
349000 1.32128 48.6936 35.2083 47.4811 -3170.72
350000 1.32108 48.7086 35.2009 47.4834 -2547.47
351000 1.32141 48.7236 35.1891 47.473 -2826.62
352000 1.32213 48.7386 35.1719 47.4556 -3779.41
353000 1.32247 48.7536 35.1651 47.4382 -2846.9
354000 1.32279 48.7686 35.1662 47.4105 -3325.75
355000 1.32306 48.7836 35.1711 47.3796 -4680.47
356000 1.32301 48.7986 35.183 47.3509 -2566.67
357000 1.32214 48.8136 35.212 47.3285 -3794.06
358000 1.32082 48.8286 35.2501 47.3099 -1986.86
359000 1.31946 48.8436 35.2907 47.2897 -2613.58
360000 1.31761 48.8586 35.3392 47.2766 -4097.05
361000 1.31573 48.8736 35.3874 47.2652 -3180.77
362000 1.3146 48.8886 35.4247 47.2414 -3661.96
363000 1.31378 48.9036 35.4584 47.2115 -1229.81
364000 1.31312 48.9186 35.4866 47.1835 -3936.61
365000 1.31259 48.9336 35.5127 47.1533 -3145.59
366000 1.31242 48.9486 35.5309 47.1209 -2531.03
367000 1.31293 48.9636 35.5316 47.0869 -2273.58
368000 1.31363 48.9786 35.5227 47.0594 -4588.23
369000 1.31463 48.9936 35.5002 47.039 -2893.82
370000 1.31535 49.0086 35.4737 47.034 -4003.26
371000 1.31589 49.0236 35.4435 47.0401 -2967.28
372000 1.3164 49.0386 35.4122 47.0494 -2981.59
373000 1.31722 49.0536 35.3766 47.0527 -5200.11
374000 1.31863 49.0686 35.3292 47.0511 -4034.93
375000 1.32006 49.0836 35.2822 47.0486 -2712.53
376000 1.32125 49.0986 35.2363 47.053 -4559.78
377000 1.32274 49.1136 35.1837 47.0557 -3803.23
378000 1.32384 49.1286 35.1334 47.0698 -3404.44
379000 1.32444 49.1436 35.086 47.0978 -2009.43
380000 1.32449 49.1586 35.0478 47.1326 -4252.01
381000 1.32393 49.1736 35.0162 47.1807 -4581.5
382000 1.32291 49.1886 34.9945 47.2318 -3280.49
383000 1.32133 49.2036 34.9896 47.2806 -4447.28
384000 1.31932 49.2186 35.0001 47.324 -1997.51
385000 1.3171 49.2336 35.0212 47.361 -3510.11
386000 1.31457 49.2486 35.0539 47.3933 -4480.79
387000 1.31249 49.2636 35.0886 47.407 -3248.74
388000 1.31095 49.2786 35.1234 47.4014 -5596.7
389000 1.31006 49.2936 35.1522 47.3803 -3459.06
390000 1.31002 49.3086 35.1738 47.3383 -4137.49
391000 1.31035 49.3236 35.1939 47.2849 -4575.22
392000 1.31131 49.3386 35.2006 47.2267 -4575.31
393000 1.31276 49.3536 35.195 47.1678 -4289.17
394000 1.31416 49.3686 35.1878 47.1129 -2494.87
395000 1.31488 49.3836 35.1868 47.0742 -3341.73
396000 1.3146 49.3986 35.1951 47.0589 -3219.09
397000 1.31386 49.4136 35.2069 47.0554 -5003.23
398000 1.31289 49.4286 35.2192 47.0592 -2281.19
399000 1.31198 49.4436 35.2299 47.0635 -2676.94
400000 1.31123 49.4586 35.24 47.0624 -4301.06
401000 1.31098 49.4736 35.2433 47.0527 -5554.89
402000 1.31119 49.4886 35.2372 47.0392 -3484.78
403000 1.31217 49.5036 35.222 47.01 -4496.91
404000 1.31298 49.5186 35.2048 46.9895 -3913.85
405000 1.3138 49.5336 35.1808 46.9781 -3247.11
406000 1.31465 49.5486 35.1518 46.9722 -2967.63
407000 1.31532 49.5636 35.1203 46.9764 -3766.07
408000 1.31605 49.5786 35.0829 46.9861 -5888.5
409000 1.31695 49.5936 35.0481 46.9863 -4010.1
410000 1.31748 49.6086 35.0184 46.9929 -4710.05
411000 1.31802 49.6236 34.9866 47.0025 -2452.43
412000 1.31849 49.6386 34.9535 47.0158 -1974.05
413000 1.31847 49.6536 34.9193 47.0485 -4256.95
414000 1.31835 49.6686 34.8849 47.0849 -5008.13
415000 1.31816 49.6836 34.8495 47.1254 -2843.72
416000 1.31765 49.6986 34.8237 47.1643 -5575.29
417000 1.31688 49.7136 34.8105 47.1954 -1714.9
418000 1.31557 49.7286 34.8107 47.2278 -3653.62
419000 1.31474 49.7436 34.8147 47.2381 -3098.63
420000 1.31441 49.7586 34.8164 47.2333 -2489.98
421000 1.31458 49.7736 34.8154 47.2143 -5282.44
422000 1.31512 49.7886 34.8127 47.1845 -5488.63
423000 1.31521 49.8036 34.817 47.1612 -3715.92
424000 1.31476 49.8186 34.8269 47.1497 -3643.66
425000 1.31419 49.8336 34.8418 47.1357 -3785.66
426000 1.31367 49.8486 34.8503 47.1288 -4404.53
427000 1.31348 49.8636 34.8518 47.1193 -3464.4
428000 1.31301 49.8786 34.8546 47.1183 -5092.58
429000 1.31271 49.8936 34.8548 47.1145 -4122.18
430000 1.31284 49.9086 34.8492 47.1033 -6003.62
431000 1.3133 49.9236 34.841 47.0835 -4688.05
432000 1.31392 49.9386 34.8371 47.0525 -3409.72
433000 1.31427 49.9536 34.8374 47.0255 -5014.72
434000 1.31459 49.9686 34.8409 46.9955 -6040.41
435000 1.31469 49.9836 34.8496 46.966 -4477.19
436000 1.31455 49.9986 34.8654 46.9355 -2154.94
437000 1.31463 50.0136 34.8795 46.8997 -3520.95
438000 1.31478 50.0286 34.8968 46.857 -4806.27
439000 1.31456 50.0436 34.9135 46.8282 -4077.32
