# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
1000 1.3402 43.4586 37.2237 49.6099 237.79
2000 1.34048 43.4443 37.2387 49.5957 -1497.03
3000 1.34155 43.4201 37.2537 49.5637 -443.944
4000 1.34282 43.3881 37.2687 49.5336 1211.45
5000 1.34397 43.3489 37.2837 49.5162 812.446
6000 1.34479 43.3193 37.2987 49.4997 -502.574
7000 1.34537 43.2926 37.3137 49.4889 -389.583
8000 1.34578 43.2671 37.3287 49.483 -358.394
9000 1.34607 43.2482 37.3437 49.4742 -469.52
10000 1.34644 43.232 37.3587 49.4594 -2279.04
11000 1.34667 43.22 37.3737 49.4447 -1274.21
12000 1.34656 43.2183 37.3887 49.4307 753.211
13000 1.34603 43.2287 37.4037 49.4186 -1621.1
14000 1.34524 43.2465 37.4187 49.4074 724.883
15000 1.34401 43.2727 37.4337 49.4031 387.287
16000 1.34262 43.2967 37.4487 49.407 1626.07
17000 1.34108 43.328 37.4637 49.408 160.847
18000 1.33982 43.3522 37.4787 49.407 -294.074
19000 1.33891 43.3713 37.4937 49.3992 -220.227
20000 1.33867 43.3771 37.5087 49.3817 -1440.51
21000 1.33857 43.3783 37.5237 49.3643 -1262.53
22000 1.33855 43.3733 37.5387 49.351 -1960.62
23000 1.33914 43.3637 37.5537 49.3205 119.858
24000 1.34046 43.3471 37.5687 49.2712 -1565.4
25000 1.34188 43.3333 37.5837 49.2151 -98.4255
26000 1.34325 43.3267 37.5987 49.1525 -1478.21
27000 1.34423 43.3284 37.6137 49.0951 -1959.3
28000 1.3451 43.3404 37.6287 49.0302 -1353.44
29000 1.34599 43.3534 37.6437 48.9636 -1835.88
30000 1.3468 43.3617 37.6587 48.9055 -484.611
31000 1.34726 43.3672 37.6737 48.8632 -814.431
32000 1.3469 43.3742 37.6887 48.849 -2084.59
33000 1.34542 43.3894 37.7037 48.8658 -1008.25
34000 1.34301 43.4087 37.7187 48.9126 -170.295
35000 1.34054 43.4148 37.7337 48.9762 -534.281
36000 1.33849 43.4032 37.7487 49.0447 -2006.27
37000 1.33684 43.3792 37.7637 49.1132 -2590.25
38000 1.33587 43.3387 37.7787 49.175 -614.571
39000 1.33554 43.2866 37.7937 49.2269 -2830.52
40000 1.33585 43.2298 37.8087 49.2605 -3095.23
41000 1.33649 43.1733 37.8237 49.2816 -196.511
42000 1.33725 43.1235 37.8387 49.2911 -2100.17
43000 1.33816 43.0702 37.8537 49.2989 -3014.53
44000 1.33906 43.0262 37.8687 49.2966 -115.504
45000 1.33963 42.9985 37.8837 49.2882 -298.349
46000 1.33917 42.9978 37.8987 49.2864 -1564.55
47000 1.33815 43.0061 37.9137 49.2947 -1806.69
48000 1.3372 43.0214 37.9287 49.2926 -2569.08
49000 1.33675 43.0366 37.9437 49.2726 -1043.51
50000 1.3363 43.0515 37.9587 49.2525 -2392.72
51000 1.3365 43.0577 37.9737 49.2184 -652.346
52000 1.33653 43.0719 37.9887 49.1819 -1531.61
53000 1.33625 43.087 38.0037 49.1553 -920
54000 1.33537 43.1072 38.0187 49.1453 -1489.15
55000 1.33413 43.1304 38.0337 49.1453 -1820.92
56000 1.33272 43.1516 38.0487 49.1538 -1221.14
57000 1.33198 43.1679 38.0637 49.1432 -3114.98
58000 1.33214 43.1743 38.0787 49.1104 -2653.65
59000 1.3326 43.1735 38.0937 49.0752 -933.782
60000 1.33313 43.1741 38.1087 49.0357 -2785.42
61000 1.3338 43.1691 38.1237 48.9973 -1659.03
62000 1.33422 43.1617 38.1387 48.9713 -3805.12
63000 1.33464 43.148 38.1537 48.9519 -1595.59
64000 1.33526 43.127 38.1687 48.9337 -703.048
65000 1.33598 43.1009 38.1837 48.9179 -364.592
66000 1.33629 43.0835 38.1987 48.9069 -1413.77
67000 1.33615 43.0716 38.2137 48.9066 -2118.1
68000 1.3356 43.0659 38.2287 48.9138 -2245.7
69000 1.33519 43.0525 38.2437 48.9248 -1619.77
70000 1.33495 43.0363 38.2587 48.933 -43.6899
71000 1.3348 43.0153 38.2737 48.9431 -809.139
72000 1.3348 42.9896 38.2887 48.9534 -1512.02
73000 1.33487 42.9615 38.3037 48.9634 -1721.6
74000 1.33499 42.9338 38.3187 48.9714 -2084.26
75000 1.3351 42.9042 38.3337 48.9822 -1117.04
76000 1.33487 42.8741 38.3487 49.0057 -1632
77000 1.33539 42.8364 38.3637 49.0104 -33.1276
78000 1.33567 42.8063 38.3787 49.0155 -2486.45
79000 1.33575 42.7834 38.3937 49.0198 -1915.42
80000 1.3353 42.7699 38.4087 49.0324 -2939.26
81000 1.33442 42.7658 38.4237 49.0506 -1836.73
82000 1.33309 42.7741 38.4387 49.0707 -1996.28
83000 1.33211 42.785 38.4537 49.0751 -789.738
84000 1.33178 42.7904 38.4687 49.0622 -1729.87
85000 1.33163 42.7925 38.4837 49.046 -2005.13
86000 1.33146 42.7979 38.4987 49.0271 -1665.52
87000 1.33161 42.7998 38.5137 49.0001 20.6678
88000 1.33263 42.7922 38.5287 48.9523 -953.136
89000 1.33363 42.7871 38.5437 48.9024 -2362.77
90000 1.33516 42.7832 38.5587 48.8317 -3192.13
91000 1.33643 42.7835 38.5737 48.7662 -3286.34
92000 1.33778 42.7801 38.5887 48.702 -660.646
93000 1.33836 42.7912 38.6037 48.6494 -1682.38
94000 1.33863 42.805 38.6187 48.6047 -833.074
95000 1.33871 42.8151 38.6337 48.5716 -2313.06
96000 1.3382 42.825 38.6487 48.5601 -217.471
97000 1.33656 42.8516 38.6637 48.5706 -3684.43
98000 1.33457 42.8781 38.6787 48.5941 -3641.88
99000 1.33285 42.8981 38.6937 48.6152 -488.604
100000 1.33152 42.91 38.7087 48.6315 -2654.55
101000 1.33049 42.9154 38.7237 48.6441 -2857.04
102000 1.32993 42.9079 38.7387 48.6544 385.506
103000 1.32959 42.8941 38.7537 48.6634 -2107.73
104000 1.32987 42.8725 38.7687 48.659 -2561.04
105000 1.33019 42.8464 38.7837 48.6579 -1901.12
106000 1.33042 42.8197 38.7987 48.661 -1392.19
107000 1.33081 42.7925 38.8137 48.6591 -2083.49
108000 1.33085 42.773 38.8287 48.661 -656.514
109000 1.33062 42.7598 38.8437 48.6656 -3153.67
110000 1.33072 42.7481 38.8587 48.6565 -2810.21
111000 1.33072 42.7381 38.8737 48.6489 -2212.47
112000 1.33061 42.7281 38.8887 48.6458 -4743.78
113000 1.33042 42.7193 38.9037 48.6439 -1930.64
114000 1.33056 42.7119 38.9187 48.6285 -2546.02
115000 1.33029 42.7144 38.9337 48.6166 -4282.62
116000 1.33021 42.7171 38.9487 48.5979 -1000.68
117000 1.33025 42.7198 38.9637 48.5747 -3626.82
118000 1.33041 42.717 38.9787 48.5533 -955.441
119000 1.33121 42.7055 38.9937 48.5183 -2129.66
120000 1.33224 42.6914 39.0087 48.4783 -679.412
121000 1.33278 42.6759 39.0237 48.4575 -2608.92
122000 1.33252 42.6669 39.0387 48.4588 -1882.83
123000 1.33228 42.6517 39.0537 48.4659 -1030.63
124000 1.33144 42.6427 39.0687 48.4881 -3751.08
125000 1.33035 42.636 39.0837 48.5169 -1840.26
126000 1.32916 42.6311 39.0987 48.5475 -3452.16
127000 1.3286 42.6137 39.1137 48.5691 -3165.52
128000 1.32854 42.5918 39.1287 48.5775 -207.621
129000 1.32876 42.5664 39.1437 48.5799 -1562.46
130000 1.32896 42.5422 39.1587 48.5817 -2589.4
131000 1.32859 42.524 39.1737 48.5973 -3609.71
132000 1.32867 42.4991 39.1887 48.6044 -2906.02
133000 1.32879 42.474 39.2037 48.6098 -2245.95
