# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
1000 1.34039 43.4589 37.2053 49.6271 819.99
2000 1.34089 43.4463 37.1908 49.6421 -3075.82
3000 1.34195 43.4197 37.173 49.6571 -80.9348
4000 1.34304 43.3935 37.1542 49.6721 76.6783
5000 1.34434 43.3616 37.1341 49.6871 772.15
6000 1.34531 43.3369 37.1172 49.7021 848.115
7000 1.34623 43.3127 37.1014 49.7171 1140.7
8000 1.34711 43.29 37.0855 49.7321 -99.8069
9000 1.34724 43.2779 37.0812 49.7471 -1417.89
10000 1.34753 43.2631 37.0746 49.7621 -1279.55
11000 1.34728 43.2682 37.066 49.7771 -940.849
12000 1.34656 43.2861 37.0593 49.7921 370.94
13000 1.34552 43.3153 37.0517 49.8071 56.1966
14000 1.34424 43.3519 37.0448 49.8221 1411.43
15000 1.34297 43.3891 37.0368 49.8371 -711.756
16000 1.34187 43.4251 37.0253 49.8521 -193.182
17000 1.34128 43.4574 37.0028 49.8671 346.266
18000 1.34082 43.4897 36.9768 49.8821 360.592
19000 1.3404 43.5243 36.948 49.8971 -2072.54
20000 1.33982 43.5581 36.9242 49.9121 -2064.11
21000 1.33918 43.5896 36.9041 49.9271 601.132
22000 1.33844 43.6202 36.8875 49.9421 78.3349
23000 1.33807 43.6454 36.8654 49.9571 -1062.08
24000 1.33816 43.6674 36.8332 49.9721 119.102
25000 1.33855 43.6862 36.7954 49.9871 728.4
26000 1.33981 43.6855 36.7506 50.0021 -209.402
27000 1.34126 43.6747 36.7087 50.0171 -119.204
28000 1.34284 43.6555 36.6708 50.0321 116.011
29000 1.34419 43.6291 36.6451 50.0471 563.892
30000 1.34469 43.609 36.6373 50.0621 -1765.63
31000 1.34479 43.5906 36.6392 50.0771 -747.878
32000 1.34437 43.5737 36.6537 50.0921 -685.861
33000 1.34388 43.5518 36.6748 50.1071 -102.358
34000 1.34353 43.5267 36.6945 50.1221 -1262.43
35000 1.34311 43.5044 36.7137 50.1371 543.843
36000 1.34272 43.483 36.7314 50.1521 -236.764
37000 1.34212 43.4659 36.7512 50.1671 933.423
38000 1.3413 43.4602 36.7675 50.1821 -59.4567
39000 1.34034 43.462 36.7815 50.1971 -532.764
40000 1.33942 43.4641 36.7939 50.2121 -377.19
41000 1.33872 43.4693 36.7977 50.2271 -472.975
42000 1.33818 43.4721 36.7992 50.2421 -1296.02
43000 1.33794 43.467 36.7992 50.2571 -247.813
44000 1.3377 43.4645 36.7968 50.2721 -1086.36
45000 1.33765 43.4556 36.7949 50.2871 -1729.96
46000 1.33799 43.4375 36.7899 50.3021 -560.714
47000 1.33865 43.4132 36.7813 50.3171 668.858
48000 1.33949 43.3835 36.7725 50.3321 -1836.24
49000 1.34028 43.3588 36.7608 50.3471 -2443.5
50000 1.34142 43.3318 36.7416 50.3621 -647.755
51000 1.34207 43.3072 36.7336 50.3771 -1440.51
52000 1.34228 43.2894 36.7319 50.3921 -1129.63
53000 1.34267 43.2728 36.7245 50.4071 -1666.81
54000 1.34257 43.2684 36.7201 50.4221 -2069.23
55000 1.34211 43.279 36.7126 50.4371 -528.126
56000 1.34123 43.3 36.7081 50.4521 -1719.14
57000 1.33992 43.3275 36.7099 50.4671 -997.956
58000 1.33813 43.3628 36.718 50.4821 1034.87
59000 1.33633 43.3923 36.7316 50.4971 -680.356
60000 1.33513 43.414 36.7352 50.5121 -1343.69
61000 1.33436 43.4284 36.7334 50.5271 -1235.21
62000 1.3337 43.4395 36.7312 50.5421 -2104.63
63000 1.33314 43.4514 36.7259 50.5571 -1863.39
64000 1.33296 43.4519 36.7194 50.5721 -1662.19
65000 1.33316 43.4422 36.7112 50.5871 34.8365
66000 1.33364 43.4264 36.7004 50.6021 -1097.42
67000 1.33471 43.3978 36.6843 50.6171 -2032.59
68000 1.3361 43.3652 36.6629 50.6321 -936.589
69000 1.33746 43.3315 36.6431 50.6471 -527.835
70000 1.33887 43.2942 36.6252 50.6621 812.83
71000 1.34015 43.2605 36.608 50.6771 -597.598
72000 1.34116 43.2288 36.5963 50.6921 378.146
73000 1.34135 43.2048 36.6007 50.7071 -1740.01
74000 1.34076 43.1973 36.6125 50.7221 -2418.34
75000 1.33979 43.205 36.6214 50.7371 -1109.94
76000 1.33876 43.2204 36.6256 50.7521 -1527.46
77000 1.33767 43.2391 36.6288 50.7671 -2003.06
78000 1.33637 43.2597 36.6363 50.7821 -981.78
79000 1.33485 43.2787 36.6511 50.7971 -2682.92
80000 1.33347 43.2956 36.6638 50.8121 -1598.86
81000 1.33226 43.3109 36.6733 50.8271 -2225.45
82000 1.33161 43.3202 36.6726 50.8421 -1553.33
83000 1.332 43.3137 36.6565 50.8571 -3338.57
84000 1.33301 43.2938 36.6348 50.8721 -2643.26
85000 1.3342 43.2633 36.6172 50.8871 -730.952
86000 1.33538 43.2317 36.6007 50.9021 -1443.13
