# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
1000 1.27511 42.7478 37.8483 50.4493 24.0835
2000 1.27461 42.7628 37.8583 50.4382 -1846.27
3000 1.2736 42.7778 37.8748 50.4386 -974.81
4000 1.27179 42.7928 37.91 50.4456 521.003
5000 1.26999 42.8078 37.9541 50.4408 -1574.62
6000 1.26857 42.8228 37.994 50.4268 -735.025
7000 1.26758 42.8378 38.0304 50.3999 534.53
8000 1.26737 42.8528 38.0597 50.352 1005.5
9000 1.26711 42.8678 38.0913 50.3028 -1480.25
10000 1.26754 42.8828 38.1136 50.2389 -936.58
11000 1.26826 42.8978 38.1244 50.1784 -1079.48
12000 1.26952 42.9128 38.117 50.1209 300.878
13000 1.27073 42.9278 38.1021 50.0754 653.248
14000 1.27117 42.9428 38.09 50.0562 -122.61
15000 1.27143 42.9578 38.0752 50.048 -366.387
16000 1.27131 42.9728 38.0606 50.0544 -87.6849
17000 1.27137 42.9878 38.0401 50.0615 -235.418
18000 1.27184 43.0028 38.0087 50.0669 465.009
19000 1.27237 43.0178 37.9757 50.0723 -2643.64
20000 1.2728 43.0328 37.9413 50.0834 262.635
21000 1.2727 43.0478 37.9192 50.099 -2532.71
22000 1.27269 43.0628 37.902 50.1045 -1182.67
23000 1.2725 43.0778 37.8876 50.1137 -1870.37
24000 1.2719 43.0928 37.8814 50.1281 -872.204
25000 1.27103 43.1078 37.8746 50.1539 334.742
26000 1.2697 43.1228 37.8696 50.1954 -591.856
27000 1.26795 43.1378 37.8731 50.2426 -1053.37
28000 1.26563 43.1528 37.8887 50.2966 555.083
29000 1.26398 43.1678 37.8957 50.3356 -1089.71
30000 1.26324 43.1828 37.8947 50.3488 -2086.05
31000 1.26318 43.1978 37.887 50.344 -1719.92
32000 1.26346 43.2128 37.8781 50.327 -924.743
33000 1.26411 43.2278 37.8679 50.2972 -839.975
34000 1.26499 43.2428 37.8504 50.2684 -1443.21
35000 1.26569 43.2578 37.8337 50.245 -1139.33
36000 1.26594 43.2728 37.8295 50.2235 94.58
37000 1.26656 43.2878 37.8199 50.1943 -36.3791
38000 1.26737 43.3028 37.8069 50.1616 -617.67
39000 1.26789 43.3178 37.7979 50.1358 744.314
40000 1.26791 43.3328 37.7963 50.1198 -2764.9
41000 1.26775 43.3478 37.8068 50.0948 -84.0663
42000 1.26775 43.3628 37.8157 50.066 -489.732
43000 1.26739 43.3778 37.835 50.0371 -1689.82
44000 1.26606 43.3928 37.8634 50.0347 -1873.06
45000 1.26503 43.4078 37.8855 50.0291 -954.121
46000 1.26443 43.4228 37.9012 50.0147 -664.012
47000 1.26413 43.4378 37.9126 49.9945 -346.053
48000 1.26388 43.4528 37.9218 49.9747 -2020.56
49000 1.26364 43.4678 37.9243 49.9637 -996.025
50000 1.26337 43.4828 37.9267 49.9539 -1992.62
51000 1.26375 43.4978 37.9159 49.936 -1227.63
52000 1.26423 43.5128 37.9019 49.9181 -307.562
53000 1.26432 43.5278 37.8935 49.9086 -696.063
54000 1.26429 43.5428 37.8854 49.9031 314.661
55000 1.26454 43.5578 37.873 49.8927 -2119.52
56000 1.26518 43.5728 37.8573 49.8708 -107.867
57000 1.26557 43.5878 37.8446 49.8552 83.4602
58000 1.26543 43.6028 37.8322 49.8598 -181.519
59000 1.26454 43.6178 37.8285 49.8825 -1515.9
60000 1.26318 43.6328 37.8286 49.919 -1184.33
61000 1.26148 43.6478 37.8391 49.9552 -2220.81
62000 1.26006 43.6628 37.8501 49.9799 -581.814
63000 1.25914 43.6778 37.8553 49.9924 -1400.1
64000 1.25917 43.6928 37.8522 49.9778 -1158.59
65000 1.26041 43.7078 37.8303 49.9408 -714.985
66000 1.26188 43.7228 37.8035 49.9007 -1237.68
67000 1.26336 43.7378 37.786 49.8481 -1229.74
68000 1.26498 43.7528 37.7711 49.7871 -1508.94
69000 1.26612 43.7678 37.7634 49.7352 507.622
70000 1.26636 43.7828 37.7684 49.702 201.65
71000 1.2657 43.7978 37.7884 49.6847 -1421.53
72000 1.26436 43.8128 37.8126 49.6885 -1727.57
73000 1.2627 43.8278 37.8441 49.6954 -1135.39
74000 1.2605 43.8428 37.8887 49.7066 -566.715
75000 1.25848 43.8578 37.9288 49.7168 -868.237
76000 1.25676 43.8728 37.9619 49.7242 -1119.53
77000 1.25573 43.8878 37.9861 49.7165 -148.265
78000 1.25551 43.9028 37.9988 49.6913 -861.022
79000 1.25524 43.9178 38.0108 49.6692 -1027.7
80000 1.25511 43.9328 38.0102 49.6584 -813.198
81000 1.25524 43.9478 38.0024 49.6466 140.432
82000 1.25581 43.9628 37.9894 49.6241 -2220.55
83000 1.257 43.9778 37.964 49.5935 -1095.03
84000 1.25818 43.9928 37.9403 49.5608 -1021.28
85000 1.25938 44.0078 37.915 49.5298 -714.141
86000 1.26026 44.0228 37.8916 49.5091 316.468
87000 1.26022 44.0378 37.8824 49.5055 -1557.75
88000 1.26002 44.0528 37.8752 49.506 -2058.26
89000 1.25986 44.0678 37.8633 49.5113 -2790.34
