# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
1000 1.27499 42.7339 37.8508 50.4672 561.674
2000 1.2737 42.7313 37.8803 50.4822 1453.05
3000 1.27273 42.7148 37.9124 50.4972 -930.45
4000 1.2721 42.6807 37.9503 50.5122 726.864
5000 1.27163 42.6409 37.9886 50.5272 692.361
6000 1.27078 42.6008 38.0384 50.5422 -163.199
7000 1.26997 42.5561 38.0913 50.5572 -1200.59
8000 1.26965 42.5097 38.1312 50.5722 -480.692
9000 1.27005 42.4568 38.1554 50.5872 -1669.64
10000 1.27055 42.4023 38.1779 50.6022 -1598.09
11000 1.27077 42.358 38.1999 50.6172 -2242.48
12000 1.27091 42.3236 38.2155 50.6322 -1439.87
13000 1.27094 42.2953 38.229 50.6472 -1457.96
14000 1.27147 42.2638 38.2302 50.6622 -712.398
15000 1.27225 42.2365 38.2199 50.6772 -878.301
16000 1.27351 42.2129 38.1921 50.6922 -1273.95
17000 1.27462 42.1991 38.1601 50.7072 -2200.82
18000 1.27574 42.1939 38.1201 50.7222 -213.08
19000 1.27584 42.2071 38.094 50.7372 -1040.58
20000 1.27604 42.2236 38.0618 50.7522 -1106.97
21000 1.27623 42.2417 38.0287 50.7672 81.3436
22000 1.2759 42.2659 38.0055 50.7822 -383.891
23000 1.27513 42.295 37.9909 50.7972 678.316
24000 1.27356 42.3281 37.9969 50.8122 -2462.22
25000 1.27202 42.357 38.0057 50.8272 331.168
26000 1.27081 42.3858 38.0049 50.8422 -1475.14
27000 1.27002 42.4096 37.9957 50.8572 1019.84
28000 1.26961 42.4285 37.9799 50.8722 286.496
29000 1.26951 42.4428 37.959 50.8872 -839.365
30000 1.26939 42.4514 37.9436 50.9022 83.4317
31000 1.26933 42.455 37.9311 50.9172 -615.535
32000 1.2693 42.4447 37.9301 50.9322 -2539.24
33000 1.26914 42.4302 37.9366 50.9472 334.921
34000 1.26869 42.4165 37.9513 50.9622 -1073.63
35000 1.26806 42.4073 37.9671 50.9772 -2314.42
36000 1.26748 42.3906 37.9883 50.9922 -1479.05
37000 1.26716 42.3644 38.0102 51.0072 362.772
38000 1.26724 42.3317 38.0261 51.0222 -1799.79
39000 1.26695 42.3063 38.0463 51.0372 -1027.49
40000 1.26639 42.2873 38.069 51.0522 735.397
41000 1.2655 42.2736 38.097 51.0672 -467.089
42000 1.26452 42.2628 38.125 51.0822 -1257.58
43000 1.26364 42.2514 38.1507 51.0972 -536.234
44000 1.26297 42.2364 38.1732 51.1122 -1253.04
45000 1.26236 42.224 38.1918 51.1272 162.455
46000 1.2623 42.203 38.2012 51.1422 -1449.78
47000 1.26232 42.1853 38.2054 51.1572 -2294.85
48000 1.26293 42.1642 38.195 51.1722 -1524.35
49000 1.264 42.136 38.177 51.1872 -1793.18
50000 1.26555 42.1014 38.1503 51.2022 -534.81
51000 1.26723 42.0747 38.1127 51.2172 -1179.69
52000 1.26902 42.0536 38.067 51.2322 -1237
53000 1.27052 42.0368 38.0263 51.2472 -2174.18
54000 1.27108 42.0373 37.9978 51.2622 -1961.49
55000 1.27031 42.0653 37.9844 51.2772 -650.86
56000 1.26936 42.099 37.9713 51.2922 -3026.69
