Force(nN),Distance(Å)
0.000,0.00000
0.020,21.40795
0.040,22.89153
0.060,23.72682
0.080,24.62716
0.100,25.16898
0.120,25.86860
0.140,26.19349
0.160,27.23026
0.180,27.48883
0.200,27.68317
0.220,28.34866
0.240,28.50297
0.260,28.71916
0.280,28.92758
0.300,29.07910
0.320,29.19107
0.340,29.50552
0.360,29.66996
0.380,29.86804
0.400,29.97778
0.420,30.27920
0.440,30.45931
0.460,30.76864
0.480,30.89491
0.500,31.19235
0.520,31.59263
0.540,31.70319
0.560,31.88714
0.580,32.00233
0.600,32.18733
0.620,32.30997
0.640,32.47415
0.660,32.58849
0.680,33.44217
0.700,33.60963
0.720,33.73716
0.740,34.99799
0.760,35.08544
0.780,35.20145
0.800,35.26178
0.820,35.32831
0.840,35.64100
0.860,35.70886
0.880,35.79209
0.900,35.93028
0.920,36.13179
0.940,43.82281
0.960,50.77005
0.980,63.76309
1.000,67.44254
1.020,72.22267
1.040,74.88966
1.060,79.13568
1.080,89.98395
1.100,96.20492
1.120,103.73728
1.140,113.96925
1.160,144.05535
