Stress Force(nN),HBonds
0.000,10
0.020,10
0.040,9
0.060,9
0.080,9
0.100,9
0.120,9
0.140,9
0.160,9
0.180,9
0.200,9
0.220,9
0.240,9
0.260,9
0.280,9
0.300,9
0.320,9
0.340,9
0.360,9
0.380,9
0.400,9
0.420,9
0.440,9
0.460,9
0.480,9
0.500,9
0.520,9
0.540,9
0.560,9
0.580,9
0.600,9
0.620,9
0.640,9
0.660,9
0.680,9
0.700,9
0.720,9
0.740,9
0.760,9
0.780,9
0.800,9
0.820,8
0.840,8
0.860,8
0.880,8
0.900,8
0.920,8
0.940,8
0.960,7
0.980,7
1.000,8
1.020,8
1.040,7
1.060,7
1.080,7
1.100,7
1.120,7
1.140,7
1.160,7
1.180,5
1.200,5
1.220,5
1.240,0
1.260,5
1.280,1
1.300,2
1.320,0
1.340,0
1.360,2
1.380,1
1.400,1
1.420,0
1.440,1
1.460,0
1.480,0
1.500,0
1.520,0
1.540,0
