Force(nN),Distance(Å)
0.000,0.00000
0.020,8.04692
0.040,9.64409
0.060,10.81927
0.080,11.44493
0.100,12.45159
0.120,13.50138
0.140,14.15225
0.160,15.07547
0.180,15.35779
0.200,16.22504
0.220,16.40732
0.240,16.95292
0.260,17.38250
0.280,17.51149
0.300,18.79036
0.320,18.89454
0.340,19.07703
0.360,19.17182
0.380,19.37980
0.400,19.46202
0.420,19.56790
0.440,19.70167
0.460,20.63749
0.480,20.70774
0.500,20.81880
0.520,20.92310
0.540,20.98862
0.560,21.11214
0.580,21.17698
0.600,21.31675
0.620,21.37951
0.640,22.03624
0.660,22.11637
0.680,22.17467
0.700,22.24864
0.720,22.32112
0.740,22.45365
0.760,22.51192
0.780,35.06243
0.800,40.02133
0.820,45.74421
0.840,51.21092
0.860,56.55078
0.880,61.44427
0.900,67.89178
0.920,74.19351
0.940,82.81066
0.960,115.49276
