Stress Force(nN),HBonds
0.000,9
0.020,9
0.040,9
0.060,9
0.080,8
0.100,8
0.120,8
0.140,8
0.160,8
0.180,10
0.200,10
0.220,10
0.240,10
0.260,10
0.280,10
0.300,9
0.320,9
0.340,9
0.360,9
0.380,9
0.400,9
0.420,9
0.440,9
0.460,9
0.480,9
0.500,9
0.520,9
0.540,9
0.560,9
0.580,9
0.600,9
0.620,9
0.640,9
0.660,9
0.680,9
0.700,9
0.720,9
0.740,9
0.760,9
0.780,8
0.800,8
0.820,7
0.840,7
0.860,7
0.880,7
0.900,7
0.920,7
0.940,7
0.960,7
0.980,3
1.000,2
1.020,1
1.040,0
1.060,3
1.080,1
1.100,2
1.120,1
1.140,0
1.160,0
