Force(nN),Distance(Å)
0.000,0.00000
0.020,9.86389
0.040,11.55135
0.060,12.40097
0.080,14.02710
0.100,14.46517
0.120,14.94790
0.140,15.23735
0.160,15.42402
0.180,15.95962
0.200,16.07944
0.220,16.50302
0.240,16.58218
0.260,17.61746
0.280,17.67119
0.300,17.88783
0.320,17.95333
0.340,17.99491
0.360,18.63938
0.380,18.67434
0.400,18.73428
0.420,18.80231
0.440,18.85561
0.460,19.10812
0.480,19.15050
0.500,19.19708
0.520,19.24701
0.540,19.29887
0.560,19.35292
0.580,19.38256
0.600,19.62009
0.620,19.64601
0.640,19.68761
0.660,19.71464
0.680,19.76663
0.700,19.79310
0.720,20.82302
0.740,20.85887
0.760,20.88215
0.780,20.93333
0.800,21.08807
0.820,21.11292
0.840,21.15979
0.860,21.18210
0.880,21.38908
0.900,21.46687
0.920,21.48977
0.940,21.52966
0.960,21.55143
0.980,29.44262
1.000,39.28922
1.020,45.17805
1.040,50.31062
1.060,55.21251
1.080,61.81325
1.100,67.82178
1.120,76.18440
1.140,90.53917
1.160,117.63511
