Stress Force(nN),HBonds
0.000,11
0.020,12
0.040,12
0.060,11
0.080,11
0.100,11
0.120,9
0.140,9
0.160,9
0.180,9
0.200,10
0.220,10
0.240,10
0.260,10
0.280,10
0.300,10
0.320,10
0.340,10
0.360,10
0.380,10
0.400,10
0.420,10
0.440,10
0.460,10
0.480,10
0.500,9
0.520,9
0.540,9
0.560,9
0.580,9
0.600,9
0.620,9
0.640,9
0.660,9
0.680,9
0.700,9
0.720,9
0.740,9
0.760,9
0.780,8
0.800,8
0.820,8
0.840,8
0.860,8
0.880,8
0.900,8
0.920,8
0.940,8
0.960,8
0.980,8
1.000,8
1.020,8
1.040,8
1.060,8
1.080,5
1.100,3
1.120,0
1.140,1
1.160,0
1.180,1
1.200,1
1.220,1
1.240,1
1.260,1
1.280,0
1.300,0
1.320,0
