Force(nN),Distance(Å)
0.000,0.00000
0.020,5.90985
0.040,9.18313
0.060,10.59095
0.080,13.22194
0.100,15.99739
0.120,16.58431
0.140,17.99201
0.160,19.57650
0.180,19.90692
0.200,20.33904
0.220,21.78854
0.240,22.00201
0.260,22.39754
0.280,22.64037
0.300,23.00543
0.320,23.15683
0.340,23.54358
0.360,23.60101
0.380,23.83279
0.400,23.89610
0.420,24.13445
0.440,24.19098
0.460,24.24607
0.480,24.71881
0.500,24.82674
0.520,24.87422
0.540,24.92979
0.560,26.66062
0.580,26.70729
0.600,26.76678
0.620,26.79429
0.640,26.85728
0.660,28.19335
0.680,28.21869
0.700,28.29105
0.720,28.33553
0.740,33.11083
0.760,33.65072
0.780,33.69132
0.800,33.90884
0.820,34.01844
0.840,34.04707
0.860,34.09967
0.880,34.12831
0.900,40.16563
0.920,45.70874
0.940,47.67424
0.960,55.68001
0.980,62.24192
1.000,68.03304
1.020,78.54053
1.040,88.29440
1.060,102.64165
