Force(nN),Distance(Å)
0.000,0.00000
0.020,3.83947
0.040,5.68553
0.060,6.45750
0.080,8.18502
0.100,8.43545
0.120,8.87821
0.140,9.82857
0.160,10.05196
0.180,10.32831
0.200,10.58006
0.220,10.95828
0.240,12.87728
0.260,14.49268
0.280,14.58814
0.300,14.75769
0.320,14.85047
0.340,15.20437
0.360,15.42655
0.380,15.51585
0.400,15.61562
0.420,15.72146
0.440,15.89864
0.460,15.98954
0.480,16.07997
0.500,16.29998
0.520,16.38078
0.540,16.47326
0.560,17.70314
0.580,17.77542
0.600,18.12315
0.620,18.18412
0.640,18.28539
0.660,18.34463
0.680,18.78746
0.700,18.84353
0.720,18.93501
0.740,18.98581
0.760,19.04525
0.780,19.11409
0.800,19.29379
0.820,19.34839
0.840,19.40730
0.860,19.47048
0.880,23.91842
0.900,38.37254
0.920,45.80052
0.940,50.83360
0.960,57.31425
0.980,62.26913
1.000,75.37889
1.020,86.48659
1.040,102.20448
