Stress Force(nN),HBonds
0.000,9
0.020,9
0.040,9
0.060,9
0.080,9
0.100,9
0.120,9
0.140,10
0.160,10
0.180,10
0.200,10
0.220,10
0.240,10
0.260,10
0.280,10
0.300,10
0.320,10
0.340,10
0.360,10
0.380,10
0.400,10
0.420,10
0.440,10
0.460,10
0.480,10
0.500,9
0.520,9
0.540,9
0.560,9
0.580,9
0.600,8
0.620,8
0.640,8
0.660,8
0.680,8
0.700,8
0.720,8
0.740,7
0.760,7
0.780,7
0.800,7
0.820,7
0.840,7
0.860,7
0.880,7
0.900,7
0.920,7
0.940,7
0.960,7
0.980,8
1.000,3
1.020,2
1.040,1
1.060,2
1.080,0
1.100,0
1.120,3
1.140,0
1.160,2
1.180,0
1.200,0
1.220,0
