Force(nN),Distance(Å)
0.000,0.00000
0.020,6.35446
0.040,9.32683
0.060,10.75535
0.080,11.92807
0.100,13.09478
0.120,13.49539
0.140,13.85275
0.160,14.20715
0.180,14.46614
0.200,15.13919
0.220,15.37041
0.240,16.43873
0.260,16.63211
0.280,16.82493
0.300,17.01045
0.320,17.51966
0.340,18.09702
0.360,18.21084
0.380,18.45170
0.400,19.20421
0.420,19.27397
0.440,20.16134
0.460,20.25637
0.480,20.31422
0.500,20.38679
0.520,20.52488
0.540,20.58513
0.560,20.82893
0.580,22.43922
0.600,22.49368
0.620,23.46029
0.640,23.51613
0.660,23.56663
0.680,23.62573
0.700,23.68828
0.720,23.75007
0.740,29.29059
0.760,31.24579
0.780,36.43322
0.800,39.12331
0.820,42.81867
0.840,51.63224
0.860,58.40667
0.880,66.36589
0.900,72.17562
0.920,85.81965
0.940,111.73661
