Stress Force(nN),HBonds
0.000,3
0.020,3
0.040,3
0.060,3
0.080,3
0.100,3
0.120,3
0.140,3
0.160,3
0.180,3
0.200,3
0.220,3
0.240,3
0.260,3
0.280,3
0.300,3
0.320,3
0.340,4
0.360,4
0.380,4
0.400,4
0.420,4
0.440,4
0.460,4
0.480,4
0.500,4
0.520,4
0.540,4
0.560,4
0.580,4
0.600,4
0.620,4
0.640,4
0.660,4
0.680,3
0.700,3
0.720,3
0.740,3
0.760,2
0.780,2
0.800,2
0.820,1
0.840,1
0.860,1
0.880,0
0.900,0
0.920,0
0.940,0
0.960,0
0.980,0
1.000,0
1.020,0
1.040,0
1.060,0
1.080,0
1.100,0
1.120,1
1.140,0
1.160,0
1.180,0
1.200,0
1.220,0
