Force(nN),Distance(Å)
0.000,0.00000
0.020,14.56696
0.040,18.76544
0.060,21.43788
0.080,22.95724
0.100,24.40314
0.120,25.23852
0.140,26.25502
0.160,26.85093
0.180,27.74139
0.200,28.22104
0.220,28.73088
0.240,29.52415
0.260,29.88913
0.280,30.04651
0.300,31.69230
0.320,31.81079
0.340,32.03642
0.360,32.14641
0.380,32.27503
0.400,33.77975
0.420,33.88584
0.440,34.02497
0.460,34.29140
0.480,34.40822
0.500,34.52695
0.520,35.55610
0.540,35.68878
0.560,35.76950
0.580,35.99951
0.600,36.08612
0.620,36.16789
0.640,37.43951
0.660,37.55410
0.680,37.70312
0.700,37.77076
0.720,44.14499
0.740,48.89259
0.760,54.38839
0.780,58.22581
0.800,63.82192
0.820,68.77560
0.840,75.44569
0.860,80.93115
0.880,86.77241
0.900,93.66769
0.920,103.02313
0.940,125.94093
