Stress Force(nN),Crossovers
0.000,4
0.020,6
0.040,4
0.060,6
0.080,4
0.100,5
0.120,5
0.140,7
0.160,3
0.180,3
0.200,3
0.220,7
0.240,4
0.260,4
0.280,4
0.300,5
0.320,5
0.340,3
0.360,3
0.380,3
0.400,3
0.420,3
0.440,2
0.460,4
0.480,4
0.500,4
0.520,4
0.540,4
0.560,2
0.580,4
0.600,4
0.620,4
0.640,4
0.660,2
0.680,2
0.700,6
0.720,4
0.740,4
0.760,4
0.780,4
0.800,2
0.820,0
0.840,0
0.860,0
0.880,0
0.900,0
0.920,0
0.940,0
0.960,4
0.980,4
1.000,4
1.020,4
1.040,4
1.060,4
1.080,4
1.100,2
1.120,4
1.140,2
1.160,6
1.180,2
1.200,6
1.220,0
1.240,2
1.260,2
1.280,4
1.300,2
1.320,2
1.340,2
1.360,2
1.380,2
1.400,4
