Stress Force(nN),HBonds
0.000,5
0.020,5
0.040,5
0.060,6
0.080,6
0.100,6
0.120,6
0.140,6
0.160,6
0.180,6
0.200,6
0.220,6
0.240,6
0.260,6
0.280,6
0.300,6
0.320,5
0.340,5
0.360,5
0.380,5
0.400,5
0.420,5
0.440,6
0.460,6
0.480,6
0.500,6
0.520,5
0.540,5
0.560,5
0.580,5
0.600,5
0.620,5
0.640,5
0.660,5
0.680,4
0.700,4
0.720,4
0.740,4
0.760,3
0.780,3
0.800,3
0.820,3
0.840,1
0.860,2
0.880,2
0.900,2
0.920,2
0.940,2
0.960,2
0.980,2
1.000,2
1.020,1
1.040,1
1.060,1
1.080,1
1.100,0
1.120,0
1.140,1
1.160,0
1.180,0
1.200,0
1.220,0
