Force(nN),Distance(Å)
0.000,0.00000
0.020,4.89682
0.040,7.09503
0.060,8.39327
0.080,9.15703
0.100,9.92795
0.120,10.63706
0.140,11.04091
0.160,12.11959
0.180,12.50725
0.200,12.68160
0.220,12.96201
0.240,13.15504
0.260,13.75657
0.280,13.86139
0.300,13.98421
0.320,14.23995
0.340,14.34148
0.360,14.62311
0.380,14.71988
0.400,15.25111
0.420,15.31862
0.440,15.39894
0.460,15.78670
0.480,15.84807
0.500,15.91556
0.520,15.98624
0.540,16.05823
0.560,20.96356
0.580,21.02796
0.600,21.16086
0.620,21.22369
0.640,21.37414
0.660,21.43469
0.680,21.50248
0.700,21.68861
0.720,21.74716
0.740,21.81388
0.760,27.36251
0.780,33.32648
0.800,38.84245
0.820,45.28762
0.840,50.71981
0.860,58.04275
0.880,63.67043
0.900,71.62217
0.920,79.55649
0.940,96.71928
0.960,124.02254
