Stress Force(nN),HBonds
0.000,7
0.020,8
0.040,7
0.060,7
0.080,7
0.100,7
0.120,7
0.140,7
0.160,7
0.180,7
0.200,7
0.220,7
0.240,7
0.260,7
0.280,7
0.300,7
0.320,6
0.340,7
0.360,7
0.380,7
0.400,7
0.420,7
0.440,7
0.460,7
0.480,6
0.500,6
0.520,5
0.540,5
0.560,5
0.580,5
0.600,5
0.620,5
0.640,7
0.660,7
0.680,7
0.700,7
0.720,7
0.740,5
0.760,5
0.780,5
0.800,5
0.820,5
0.840,5
0.860,5
0.880,5
0.900,5
0.920,5
0.940,5
0.960,4
0.980,4
1.000,4
1.020,3
1.040,2
1.060,1
1.080,0
1.100,0
1.120,0
1.140,0
1.160,1
1.180,0
1.200,0
