Force(nN),Distance(Å)
0.000,0.00000
0.020,7.67920
0.040,12.08240
0.060,13.77270
0.080,14.98477
0.100,17.27264
0.120,17.70419
0.140,18.13859
0.160,18.40811
0.180,19.44041
0.200,19.71925
0.220,19.92347
0.240,20.24870
0.260,20.41025
0.280,21.00624
0.300,21.16155
0.320,21.36001
0.340,21.49919
0.360,21.90713
0.380,22.03345
0.400,22.17301
0.420,22.31986
0.440,22.78972
0.460,23.31017
0.480,24.21863
0.500,24.33362
0.520,24.61589
0.540,24.68976
0.560,24.86919
0.580,33.24616
0.600,33.33312
0.620,33.67230
0.640,34.95384
0.660,35.02163
0.680,35.08514
0.700,35.27689
0.720,35.32150
0.740,35.37530
0.760,35.40632
0.780,35.46698
0.800,35.52617
0.820,35.58995
0.840,40.85325
0.860,45.11391
0.880,45.29844
0.900,49.39305
0.920,54.30152
0.940,59.27247
0.960,61.87560
0.980,66.94943
1.000,77.44735
1.020,87.28407
1.040,105.53083
