Force(nN),Distance(Å)
0.000,0.00000
0.020,11.07768
0.040,15.17946
0.060,17.10368
0.080,18.20958
0.100,19.15631
0.120,19.95358
0.140,20.54237
0.160,21.45905
0.180,21.80071
0.200,22.23737
0.220,22.66183
0.240,24.47262
0.260,24.68103
0.280,24.92481
0.300,25.15652
0.320,25.38025
0.340,25.60442
0.360,25.77963
0.380,26.35819
0.400,26.51324
0.420,26.61717
0.440,26.75568
0.460,26.98902
0.480,27.08253
0.500,27.23168
0.520,27.42058
0.540,27.52115
0.560,27.62739
0.580,27.71895
0.600,27.83208
0.620,27.91689
0.640,28.73697
0.660,28.80150
0.680,28.86842
0.700,28.93949
0.720,29.05647
0.740,29.10976
0.760,29.17029
0.780,29.23963
0.800,29.42472
0.820,29.47131
0.840,29.55490
0.860,29.67256
0.880,29.71314
0.900,29.75794
0.920,36.10362
0.940,45.10560
0.960,50.15206
0.980,55.66438
1.000,63.04541
1.020,65.89022
1.040,79.95323
1.060,88.61672
1.080,106.33936
1.100,111.24841
