Stress Force(nN),HBonds
0.000,6
0.020,6
0.040,6
0.060,6
0.080,6
0.100,6
0.120,6
0.140,6
0.160,6
0.180,6
0.200,6
0.220,6
0.240,6
0.260,6
0.280,6
0.300,6
0.320,6
0.340,6
0.360,6
0.380,6
0.400,6
0.420,6
0.440,6
0.460,6
0.480,6
0.500,6
0.520,6
0.540,5
0.560,5
0.580,5
0.600,5
0.620,5
0.640,5
0.660,5
0.680,5
0.700,5
0.720,6
0.740,6
0.760,6
0.780,6
0.800,6
0.820,6
0.840,6
0.860,6
0.880,6
0.900,6
0.920,6
0.940,6
0.960,6
0.980,6
1.000,6
1.020,6
1.040,6
1.060,6
1.080,6
1.100,6
1.120,6
1.140,6
1.160,6
1.180,6
1.200,6
1.220,6
1.240,6
1.260,6
1.280,6
1.300,0
1.320,1
1.340,0
1.360,0
1.380,1
1.400,0
1.420,0
1.440,0
1.460,0
