Force(nN),Distance(Å)
0.000,0.00000
0.020,10.65960
0.040,12.91912
0.060,14.31476
0.080,16.37914
0.100,16.78601
0.120,17.14258
0.140,17.40322
0.160,17.79457
0.180,18.13857
0.200,18.33971
0.220,18.62928
0.240,18.80048
0.260,19.66647
0.280,19.83166
0.300,20.06156
0.320,20.30299
0.340,20.46515
0.360,20.63023
0.380,20.92219
0.400,21.58954
0.420,21.72104
0.440,21.79204
0.460,21.88605
0.480,21.98558
0.500,22.24552
0.520,22.33149
0.540,22.41695
0.560,28.42010
0.580,28.47584
0.600,28.53297
0.620,28.59533
0.640,28.65773
0.660,28.78370
0.680,28.83332
0.700,28.88911
0.720,28.95575
0.740,29.28059
0.760,29.33326
0.780,34.15277
0.800,41.32030
0.820,45.86644
0.840,45.91461
0.860,45.96919
0.880,46.02117
0.900,46.07856
0.920,46.12953
0.940,46.18626
0.960,50.69988
0.980,54.27107
1.000,58.71097
1.020,63.07313
1.040,67.79031
1.060,70.41702
1.080,79.99181
1.100,90.33632
1.120,106.60331
