Stress Force(nN),HBonds
0.000,7
0.020,7
0.040,7
0.060,7
0.080,7
0.100,7
0.120,7
0.140,6
0.160,6
0.180,6
0.200,6
0.220,6
0.240,6
0.260,6
0.280,6
0.300,7
0.320,7
0.340,6
0.360,6
0.380,6
0.400,6
0.420,7
0.440,7
0.460,7
0.480,7
0.500,7
0.520,7
0.540,7
0.560,7
0.580,7
0.600,7
0.620,7
0.640,7
0.660,7
0.680,7
0.700,7
0.720,7
0.740,7
0.760,7
0.780,7
0.800,7
0.820,7
0.840,7
0.860,7
0.880,7
0.900,7
0.920,7
0.940,3
0.960,3
0.980,0
1.000,0
1.020,0
1.040,0
1.060,0
1.080,0
1.100,0
1.120,2
1.140,0
1.160,0
1.180,0
1.200,0
1.220,0
