Force(nN),Distance(Å)
0.000,0.00000
0.020,3.31857
0.040,4.82972
0.060,6.65756
0.080,7.95412
0.100,9.37651
0.120,19.03479
0.140,22.02733
0.160,22.32289
0.180,22.95312
0.200,23.47713
0.220,23.99195
0.240,24.50893
0.260,25.35800
0.280,25.71362
0.300,25.91108
0.320,26.26937
0.340,26.45508
0.360,26.67272
0.380,27.21389
0.400,27.99385
0.420,28.94197
0.440,29.07858
0.460,29.21677
0.480,29.50197
0.500,29.73455
0.520,29.85400
0.540,30.09823
0.560,35.69881
0.580,37.52483
0.600,37.65955
0.620,37.76172
0.640,37.87067
0.660,38.03641
0.680,38.13753
0.700,38.24584
0.720,38.72225
0.740,38.81324
0.760,38.91192
0.780,39.08418
0.800,39.18076
0.820,42.60586
0.840,46.79464
0.860,52.32071
0.880,57.83661
0.900,65.39065
0.920,70.29872
0.940,73.71909
0.960,77.97957
0.980,83.51791
1.000,91.26869
1.020,98.39002
1.040,115.65915
1.060,136.33166
